identifier,name,description,okScore,greatScore,perfectScore,justPerfectScore,difficulty
quiet,静止,有一段时间同学们特忙，没人找我玩来，我觉得特没劲，电视看的我眼睛直近视，那时侯每天看电视到夜里两点半，除了睡觉每天脑袋特晕，没劲，就这意思,99,199,299,399,5
afterSchool,放学啦,我们现在十几岁，写的都是我们熟悉的事情，身边发生的事儿,100,200,300,400,6
honglonglong,轰隆隆,我们演出老没有一个开场白，然后就遍了这么一首，一演出就开始一块蹦,101,201,301,401,7
flower,花,这首歌是看到小女孩儿时的感觉，我觉得这种事从家长社会就不该去干预，我觉得一个人只要超过一米五零的时候必须对女孩儿有感觉了,102,202,302,402,8
fourSeasons,四季歌,有一天晚上回忆活这十几年都干什么了，一想起来就觉得什么事没怎么干就过来了，就是想改变一下自己的生活套路,103,203,303,403,9
fireToMe,向我开炮,有回家睡不着觉，特兴奋就突然想一个词，叫"向我开炮"挺好,104,204,304,404,10
fallThrough,破灭,因为听说1999年是世界大灾难，虽然特傻，可是我想在我临死前干件事，消灭所有的时间，还有就是改变一切我不喜欢的事情,105,205,305,405,11
takeOff,起飞,当时不爱写作业，因为初三那会儿作业特烦，自己弹不了琴了，排不了练了，逛不了商场了，我觉得有适当课外生活挺好的,106,206,306,406,12
nextToHappiness,幸福的旁边,当时我的同桌交了一个女朋友，成天对说我他特幸福，我觉得自己就在幸福的旁边。后来写这首歌的歌词想的是很多平时没机会说的话,107,207,307,407,13
turkeyOnStraw,稻草上的火鸡,有一天晚上郭阳跟我说了一堆外星话，什么八耳毛驴，六脸的骆驼，突然来了一个稻草上的火鸡，等他走了我想"稻草上的火鸡"这词还挺好，然后就这么写出来了，我觉得动物吧，之间不用争抢什么东西，也不用爱慕虚荣，就是每天打鸣，顶多是找个母鸡，不会有更多的想法，生活比较单纯,108,208,308,408,14
result,结果,别理我，我烦着呢！,109,209,309,409,15
dontLieToMe,别骗我,整个世界都在交易 可我不能欺骗我自己,110,210,310,410,16
meltDown,融化,有些话写成歌词挺好，说出来就有点傻,111,211,311,411,17
noWay,没辙,他早已提前为曾经的自己写好了挽歌,112,212,312,412,18
sing,歌唱,CD版附送曲,113,213,313,413,19
