identifier,name,description,okScore,greatScore,perfectScore,justPerfectScore,difficulty,deep,pure,passion,funny,think,special,keyWords,okPrize,greatPrize,perfectPrize,justPerfectPrize,
quiet,静止,有一段时间同学们特忙，没人找我玩来，我觉得特没劲，电视看的我眼睛直近视，那时侯每天看电视到夜里两点半，除了睡觉每天脑袋特晕，没劲，就这意思,99,199,299,399,5,20,10,0,0,60,"bored,school",run,run,run,run,run,run
afterSchool,放学啦,我们现在十几岁，写的都是我们熟悉的事情，身边发生的事儿,100,200,300,400,6,0,20,50,0,30,"rebel,school",run,run,run,run,run,run
honglonglong,轰隆隆,我们演出老没有一个开场白，然后就编了这么一首，一演出就开始一块蹦,101,201,301,401,7,0,10,80,0,10,"loud,pub",run,run,run,run,run,run
flower,花,这首歌是看到小女孩儿时的感觉，我觉得这种事从家长社会就不该去干预，我觉得一个人只要超过一米五零的时候必须对女孩儿有感觉了,102,202,302,402,8,25,50,0,0,25,"love,pity",run,run,run,run,run,run
fourSeasons,四季歌,有一天晚上回忆活这十几年都干什么了，一想起来就觉得什么事没怎么干就过来了，就是想改变一下自己的生活套路,103,203,303,403,9,0,40,15,40,5,fantacy,run,run,run,run,run,run
fireToMe,向我开炮,有回家睡不着觉，特兴奋就突然想一个词，叫"向我开炮"挺好,104,204,304,404,10,0,10,70,0,20,run,run,run,run,run,run,run
extinguish,破灭,因为听说1999年是世界大灾难，虽然特傻，可是我想在我临死前干件事，消灭所有的时间，还有就是改变一切我不喜欢的事情,105,205,305,405,11,0,10,70,0,20,end,run,run,run,run,run,run
takeOff,起飞,当时不爱写作业，因为初三那会儿作业特烦，自己弹不了琴了，排不了练了，逛不了商场了，我觉得有适当课外生活挺好的,106,206,306,406,12,30,45,5,0,20,test,run,run,run,run,run,run
nextToHappiness,幸福的旁边,当时我的同桌交了一个女朋友，成天对说我他特幸福，我觉得自己就在幸福的旁边。后来写这首歌的歌词想的是很多平时没机会说的话,107,207,307,407,13,30,20,20,0,30,test,run,run,run,run,run,run
turkeyOnStraw,稻草上的火鸡,有一天晚上郭阳跟我说了一堆外星话，什么八耳毛驴，六脸的骆驼，突然来了一个稻草上的火鸡，等他走了我想"稻草上的火鸡"这词还挺好，然后就这么写出来了，我觉得动物吧，之间不用争抢什么东西，也不用爱慕虚荣，就是每天打鸣，顶多是找个母鸡，不会有更多的想法，生活比较单纯,108,208,308,408,14,0,20,0,40,40,"nature,ironic",run,run,run,run,run,run
result,结果,别理我，我烦着呢！,109,209,309,409,15,0,35,35,10,20,test,run,run,run,run,run,run
dontLieToMe,别骗我,整个世界都在交易 可我不能欺骗我自己,110,210,310,410,16,0,0,10,40,50,future,run,run,run,run,run,run
meltDown,融化,有些话写成歌词挺好，说出来就有点傻,111,211,311,411,17,10,40,10,0,40,test,run,run,run,run,run,run
noWay,没辙,他早已提前为曾经的自己写好了挽歌,112,212,312,412,18,0,10,10,30,50,reality,run,run,run,run,run,run
sing,歌唱,红枫：张伟童音未泯的嗓音确是独一无二的，嘹亮清晰，游韧有余。他们的音乐中还隐约掺杂着一些民谣痕迹，象收录在CD版中的《歌唱》就是典型的乡谣作品,113,213,313,413,19,30,40,15,0,15,test,run,run,run,run,run,run
